Starting fitting with 32 workers on previous 1000 parameter combinations...

=== 1000 Iterations Results ===
Total experiments: 1500

Top 1000 results by MeanFitness:
1000×11 DataFrame
  Row │ NewLayer    RemoveLayer  NewNeuron    RemoveNeuron  NewRule     RemoveRule  NewInput    RemoveInput  MeanFitness  MaxFitness  SuccessfulSimulations
      │ Float64     Float64      Float64      Float64       Float64     Float64     Float64     Float64      Float64      Float64     UInt16
──────┼─────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────
  172 │  0.12769     0.0282001    0.147246      0.0526225    0.0546398    0.180279  -0.908964    0.0893802      0.910417     1.0                          1
  173 │  0.12769     0.0282001    0.147246      0.0526225    0.0546398    0.180279   0.0910361   0.0943802      0.910417     0.96875                      0
  174 │  0.12769     0.0282001    0.147246      0.0526225    0.0546398    0.180279   0.0910361   0.0943802      0.910417     1.0                          1
  175 │  0.12769     0.0282001    0.152246      0.0576225    0.0546398    0.180279   0.0910361   0.0943802      0.910417     1.0                          1
  176 │  1.12769    -0.9718       0.147246      0.0526225    0.0546398    0.180279   0.0910361   0.0943802      0.910417     0.9375                       0
  177 │  0.147156   -0.888254     0.00321785    0.123535     0.121457     0.116945   0.0810814   0.0397341      0.910417     0.96875                      0
  178 │  0.152156    0.111746    -0.00178215   -0.876465     0.121457     0.116945   0.0810814   0.0397341      0.910417     0.96875                      0
  179 │  0.157156   -0.888254     0.00321785    0.123535     0.121457     0.116945   0.0810814   0.0397341      0.910417     0.96875                      0
  180 │  0.152156    0.111746     0.00321785    0.123535     0.126457     0.121945   0.0810814   0.0397341      0.910417     1.0                          1
  181 │  0.182333    0.122338     0.118909     -0.853563     0.0965279    0.187423   0.0794977   0.00690045     0.910417     1.0                          1
  182 │  0.182333    0.117338     0.123909      0.146437     0.0965279    0.187423   0.0794977   0.00690045     0.910417     1.0                          1
  183 │  0.182333    0.122338     0.128909      0.151437     0.0965279    0.187423   0.0794977   0.00690045     0.910417     1.0                          1
  184 │  0.182333    0.122338     1.12391       0.151437     0.0965279    0.187423   0.0794977   0.00690045     0.910417     1.0                          1
  185 │  0.183335    0.125354     0.0449128     0.0897412    0.116659     0.181293   0.0852727   0.0883816      0.910417     0.96875                      0
  186 │  0.0814545   0.0745212   -0.841143      0.0104074    0.134643     0.103979   0.0715813   0.0324708      0.910417     1.0                          1
  187 │  0.0814545   0.0745212    0.158857      0.00540739   0.129643     0.103979   0.0715813   0.0324708      0.910417     0.96875                      0
  188 │  0.0814545   0.0745212    0.158857      0.00540739   0.134643     0.103979   0.0715813   0.0274708      0.910417     0.96875                      0
  189 │  0.0279274   0.017226     0.141449     -0.98517      0.123898     0.188252   0.0299218   0.0389143      0.910417     1.0                          1
  190 │  0.0279274   0.017226     0.141449      0.0148304    0.123898     0.188252   0.0299218   0.0389143      0.910417     1.0                          1
  191 │  0.161791    0.0343425   -0.903435      0.039201     0.1434       0.133013   0.133041    0.146628       0.910417     0.96875                      0
  192 │  0.161791    0.0343425    0.0965648     0.044201    -0.8566       0.128013   0.133041    0.146628       0.910417     0.96875                      0
  193 │  0.161791    0.0343425    1.09656       0.049201     0.1434       0.133013   0.133041    0.146628       0.910417     0.96875                      0
  194 │  0.162626    0.174187     0.133882      0.0833369    0.116215     0.166546   0.0818039   0.0781038      0.910417     0.96875                      0
  195 │  0.167626   -0.830813     0.133882      0.0833369    0.116215     0.166546   0.0818039   0.0781038      0.910417     0.96875                      0
  196 │  0.148331    0.087875     0.163139     -0.995555     0.185335     0.137078   0.0770766   0.0910401      0.910417     0.96875                      0
  197 │  0.148331    0.087875     0.168139     -0.995555     0.185335     0.137078   0.0770766   0.0910401      0.910417     0.96875                      0
  198 │  0.153331    0.087875     0.163139      0.00444503   0.185335     0.137078   0.0770766   0.0910401      0.910417     1.0                          1
  199 │  0.148331    0.087875     1.16314      -0.995555     0.185335     0.137078   0.0770766   0.0910401      0.910417     0.96875                      0
  200 │  0.0547396   0.0227965    0.00739434    0.194724     0.160364     0.182053   0.144495    0.0779669      0.910417     0.96875                      0
  201 │  0.0547396   0.0227965    1.00739      -0.810276     0.160364     0.182053   0.144495    0.0779669      0.910417     1.0                          1
  202 │  0.0547396   0.0227965    1.00739       0.189724     0.160364     0.182053   0.144495    0.0779669      0.910417     0.96875                      0
  203 │  0.0841494   0.117576     0.0148985     0.0771466    0.158136     0.13053    0.183831    0.094325       0.910417     1.0                          1
  204 │  0.0891494   0.117576     0.0148985     0.0771466    0.158136     0.13053    0.183831    0.094325       0.910417     1.0                          1
  205 │  0.0891494   0.122576     0.0148985     0.0771466    0.158136     0.12553    0.183831    0.094325       0.910417     0.9375                       0
  206 │  0.0891494   0.122576     0.0148985     0.0821466    0.158136     0.13053    0.183831    0.094325       0.910417     0.96875                      0
  207 │  0.0891494   0.122576     1.0149        1.07715      0.158136     0.13053    0.183831    0.094325       0.910417     0.96875                      0
  208 │  0.161939    0.105187     0.15573       0.0175013    0.103173     0.135464   0.111401   -0.92248        0.910417     0.96875                      0
