Starting fitting with 32 workers on previous 1000 parameter combinations...

=== 1000 Iterations Results ===
Total experiments: 5000

Top 1000 results by MeanFitness:
1000×11 DataFrame
  Row │ NewLayer     RemoveLayer  NewNeuron    RemoveNeuron  NewRule      RemoveRule  NewInput    RemoveInput  MeanFitness  MaxFitness  SuccessfulSimulations
      │ Float64      Float64      Float64      Float64       Float64      Float64     Float64     Float64      Float64      Float64     UInt16
──────┼───────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────
  191 │ 0.0925651    0.025492     0.0182017     0.0969692    0.167074      0.178612   0.0530226   0.0957693       0.91875      0.96875                      0
  192 │ 0.069165     0.0405997    0.0285186     0.0640094    0.170645      0.202477   0.0785038   0.0722374       0.91875      0.96875                      0
  193 │ 0.154565     0.0349378    0.0413817     0.0340755    0.0568002     0.0986027  0.166413    0.0355152       0.91875      0.96875                      0
  194 │ 0.1354       0.173085     0.182778      0.0801733    0.1885        0.153849   0.0653131   0.090337        0.91875      1.0                          1
  195 │ 0.125815     0.138086     0.0           0.0523501    0.113936      0.200809   0.139452    0.0219867       0.91875      0.96875                      0
  196 │ 0.0934379    0.128656     0.0           0.0365834    0.100273      0.204482   0.155379    0.0367894       0.91875      0.96875                      0
  197 │ 0.169357     0.128255     0.00528087    0.0344074    0.0480045     0.0753124  0.0703937   0.0159593       0.91875      1.0                          1
  198 │ 0.165597     0.130034     0.00364779    0.0255841    0.064841      0.0836956  0.0919553   0.043995        0.91875      0.96875                      0
  199 │ 0.170283     0.137178     0.0           0.0235498    0.0611336     0.0960258  0.0806277   0.0439452       0.91875      1.0                          1
  200 │ 0.176283     0.0473727    0.108042      0.080392     0.137364      0.126196   0.191897    0.11401         0.91875      1.0                          1
  201 │ 0.144836     0.0523314    0.042406      0.0787308    0.175116      0.153656   0.11432     0.0695938       0.91875      0.96875                      0
  202 │ 0.187818     0.0625941    0.0834745     0.00611068   0.163306      0.150901   0.00942526  0.0295867       0.91875      1.0                          1
  203 │ 0.148744     0.0419985    0.102084      0.00835026   0.153487      0.181966   0.0113917   0.0262111       0.91875      0.96875                      0
  204 │ 0.182744     0.0579462    0.188879      0.00834448   0.191051      0.146533   0.186267    0.0744286       0.91875      1.0                          1
  205 │ 0.175945     0.0457922    0.0135165     0.0300566    0.111546      0.0851123  0.0558494   0.049515        0.91875      0.96875                      0
  206 │ 0.191675     0.10561      0.158554      0.103191     0.141621      0.198794   0.183985    0.0163274       0.91875      0.96875                      0
