Starting fitting with 32 workers on previous 1000 parameter combinations...

=== !200! Iterations Results ===
Total experiments: 1000

Top 1000 results by MeanFitness:
1000×11 DataFrame
  Row │ NewLayer   RemoveLayer  NewNeuron    RemoveNeuron  NewRule      RemoveRule  NewInput    RemoveInput  MeanFitness  MaxFitness  SuccessfulSimulations
      │ Float64    Float64      Float64      Float64       Float64      Float64     Float64     Float64      Float64      Float64     UInt16
──────┼─────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────
  149 │ 0.192141   0.0384958    0.0316809     0.0323658    0.12125       0.071808   0.045272     0.0654938      0.883333     0.9375                       0
  150 │ 0.138435   0.00615885   0.126391      0.0721373    0.153734      0.150081   0.0844562    0.075475       0.883333     0.96875                      0
  151 │ 0.189251   0.0784657    0.163882      0.00856521   0.0477118     0.0870007  0.0726228    0.065598       0.883333     0.96875                      0
  152 │ 0.134517   0.184199     0.153167      0.08654      0.174456      0.171191   0.0864714    0.118837       0.883333     0.9375                       0
  153 │ 0.189012   0.164212     0.164553      0.0          0.105324      0.0946519  0.0415283    0.0310155      0.883333     0.96875                      0
  154 │ 0.179969   0.185418     0.18948       0.0176718    0.114675      0.0755484  0.0360805    0.0553883      0.883333     0.9375                       0
  155 │ 0.154303   0.00196248   0.0998381     0.0413569    0.139308      0.150622   0.0818711    0.0684157      0.883333     0.90625                      0
  156 │ 0.126231   0.00198788   0.10214       0.0168738    0.139692      0.158823   0.101078     0.0717268      0.883333     0.9375                       0
  157 │ 0.0374565  0.0          0.153395      0.0231307    0.110175      0.178399   0.038963     0.0435917      0.883333     0.9375                       0
  158 │ 0.207704   0.0485939    0.163403      0.0          0.0839843     0.128545   0.0985329    0.0902233      0.883333     0.96875                      0
  159 │ 0.156922   0.0437133    0.0758376     0.0347325    0.152981      0.197264   0.024189     0.0397378      0.883333     0.96875                      0
  160 │ 0.197341   0.176912     0.174135      0.0114322    0.0999814     0.0789897  0.0283246    0.0381626      0.883333     0.96875                      0
  161 │ 0.167924   0.0569551    0.163933      0.0177485    0.0671505     0.11202    0.110668     0.106296       0.883333     0.9375                       0
  162 │ 0.161788   0.187943     0.139175      0.00460096   0.0973957     0.0858268  0.0289716    0.0406538      0.883333     0.9375                       0
  163 │ 0.19854    0.0502497    0.154069      0.0106953    0.0661436     0.121691   0.0992575    0.0983085      0.883333     0.9375                       0
  164 │ 0.182982   0.111146     0.0128968     0.0350818    0.0694601     0.088839   0.0746286    0.0197158      0.883333     0.9375                       0
  165 │ 0.0173215  0.0703867    0.102132      0.0580303    0.0970258     0.205648   0.14477      0.0380678      0.883333     0.9375                       0
  166 │ 0.161939   0.105187     0.15573       0.0175013    0.103173      0.135464   0.116401     0.0775203      0.883333     0.9375                       0
  167 │ 0.172734   0.0511824    0.107191      0.0291674    0.151338      0.16514    0.0171999    0.0258212      0.883333     0.9375                       0
  168 │ 0.138817   0.0          0.124986      0.0508237    0.129332      0.160632   0.0674428    0.0441814      0.883333     0.96875                      0
  169 │ 0.178485   0.0512501    0.108056      0.00790992   0.159599      0.144594   0.0398263    0.0472783      0.883333     0.9375                       0
  170 │ 0.147733   0.0101288    0.103954      0.0474586    0.148284      0.154031   0.0778588    0.0762532      0.883333     0.9375                       0
  171 │ 0.136791   0.00688871   0.134399      0.0520331    0.141917      0.162801   0.0641948    0.0416107      0.883333     0.9375                       0
  172 │ 0.149281   0.00262955   0.112891      0.0500407    0.140887      0.175587   0.0883572    0.0731383      0.883333     0.9375                       0
  173 │ 0.129739   0.000461256  0.103811      0.0258468    0.133953      0.141725   0.0939567    0.0843917      0.883333     0.96875                      0
  174 │ 0.13227    0.00904727   0.140558      0.0581819    0.15346       0.161945   0.0644846    0.0509307      0.883333     0.9375                       0
  175 │ 0.130215   0.00417493   0.135029      0.0566779    0.160994      0.161501   0.056882     0.0565215      0.883333     0.96875                      0
  176 │ 0.0442717  0.0          0.16796       0.0176442    0.120694      0.15753    0.0179721    0.0515506      0.883333     0.9375                       0
